Year,Percentage of popularity 
2004-01,5
2004-02,5
2004-03,5
2004-04,5
2004-05,4
2004-06,5
2004-07,5
2004-08,4
2004-09,4
2004-10,4
2004-11,4
2004-12,4
2005-01,5
2005-02,4
2005-03,4
2005-04,4
2005-05,4
2005-06,4
2005-07,4
2005-08,5
2005-09,4
2005-10,4
2005-11,5
2005-12,4
2006-01,5
2006-02,5
2006-03,4
2006-04,4
2006-05,4
2006-06,4
2006-07,5
2006-08,5
2006-09,5
2006-10,5
2006-11,3
2006-12,4
2007-01,5
2007-02,4
2007-03,4
2007-04,6
2007-05,11
2007-06,6
2007-07,6
2007-08,6
2007-09,5
2007-10,4
2007-11,5
2007-12,5
2008-01,8
2008-02,4
2008-03,4
2008-04,4
2008-05,4
2008-06,5
2008-07,4
2008-08,5
2008-09,4
2008-10,4
2008-11,5
2008-12,6
2009-01,5
2009-02,4
2009-03,5
2009-04,5
2009-05,5
2009-06,5
2009-07,5
2009-08,7
2009-09,5
2009-10,5
2009-11,4
2009-12,5
2010-01,5
2010-02,5
2010-03,8
2010-04,5
2010-05,6
2010-06,6
2010-07,5
2010-08,6
2010-09,5
2010-10,5
2010-11,5
2010-12,6
2011-01,6
2011-02,7
2011-03,7
2011-04,7
2011-05,6
2011-06,7
2011-07,6
2011-08,7
2011-09,6
2011-10,6
2011-11,6
2011-12,7
2012-01,7
2012-02,6
2012-03,6
2012-04,5
2012-05,5
2012-06,6
2012-07,6
2012-08,6
2012-09,5
2012-10,5
2012-11,6
2012-12,5
2013-01,6
2013-02,6
2013-03,7
2013-04,6
2013-05,5
2013-06,6
2013-07,6
2013-08,6
2013-09,6
2013-10,6
2013-11,7
2013-12,6
2014-01,7
2014-02,6
2014-03,6
2014-04,6
2014-05,7
2014-06,8
2014-07,8
2014-08,7
2014-09,6
2014-10,7
2014-11,6
2014-12,7
2015-01,8
2015-02,7
2015-03,7
2015-04,8
2015-05,8
2015-06,8
2015-07,8
2015-08,7
2015-09,7
2015-10,7
2015-11,7
2015-12,8
2016-01,7
2016-02,7
2016-03,7
2016-04,7
2016-05,7
2016-06,7
2016-07,7
2016-08,7
2016-09,7
2016-10,7
2016-11,7
2016-12,8
2017-01,8
2017-02,7
2017-03,8
2017-04,8
2017-05,8
2017-06,7
2017-07,9
2017-08,8
2017-09,7
2017-10,8
2017-11,9
2017-12,10
2018-01,10
2018-02,9
2018-03,9
2018-04,9
2018-05,8
2018-06,9
2018-07,10
2018-08,9
2018-09,7
2018-10,8
2018-11,11
2018-12,12
2019-01,11
2019-02,11
2019-03,10
2019-04,9
2019-05,9
2019-06,10
2019-07,11
2019-08,11
2019-09,10
2019-10,11
2019-11,12
2019-12,15
2020-01,14
2020-02,13
2020-03,100
2020-04,38
2020-05,21
2020-06,19
2020-07,20
2020-08,18
2020-09,16
2020-10,18
2020-11,24
2020-12,25
2021-01,21
2021-02,19
2021-03,18
2021-04,18
2021-05,17
2021-06,17
2021-07,18
2021-08,17
2021-09,17
2021-10,17
2021-11,22
2021-12,24
2022-01,23
2022-02,23
2022-03,26
2022-04,24
2022-05,25
2022-06,26
2022-07,26
2022-08,24
2022-09,19
2022-10,19
2022-11,20
2022-12,23
2023-01,23
2023-02,21
2023-03,24
2023-04,23
2023-05,20
2023-06,20
2023-07,22
2023-08,20
2023-09,19
2023-10,19
2023-11,23
2023-12,24
2024-01,23
2024-02,22
2024-03,23
2024-04,22
2024-05,21
2024-06,22
2024-07,22
2024-08,22
2024-09,20
2024-10,22
2024-11,24
2024-12,26
2025-01,23
2025-02,21
2025-03,20
2025-04,20